,Company Name,date,price,Open,High,low,volume,chg_per
0,3M India Ltd. (TMIN),"Oct 06, 2021","25,289.55","25,499.90","25,995.00","24,915.05",13.07K,0.14%
1,3M India Ltd. (TMIN),"Oct 05, 2021","25,254.55","25,435.90","25,769.25","25,195.20",22.64K,-0.71%
2,3M India Ltd. (TMIN),"Oct 04, 2021","25,435.90","25,200.00","25,896.00","25,001.00",14.30K,2.30%
3,3M India Ltd. (TMIN),"Oct 01, 2021","24,863.20","24,800.00","24,900.00","24,500.00",1.34K,0.12%
4,3M India Ltd. (TMIN),"Sep 30, 2021","24,832.50","24,720.00","24,980.05","24,462.50",1.85K,0.59%
5,3M India Ltd. (TMIN),"Sep 29, 2021","24,685.65","24,750.00","24,795.35","24,500.00",1.16K,-0.25%
6,3M India Ltd. (TMIN),"Sep 28, 2021","24,747.60","25,190.00","25,270.00","24,571.00",1.35K,-1.53%
7,3M India Ltd. (TMIN),"Sep 27, 2021","25,131.70","25,100.00","25,349.00","24,810.95",2.91K,1.33%
8,3M India Ltd. (TMIN),"Sep 24, 2021","24,801.15","25,500.00","25,500.00","24,703.00",2.17K,-0.87%
9,3M India Ltd. (TMIN),"Sep 23, 2021","25,019.90","24,836.60","25,570.00","24,701.25",7.56K,1.20%
10,3M India Ltd. (TMIN),"Sep 22, 2021","24,724.35","25,250.00","25,319.50","24,651.25",7.15K,-1.45%
11,3M India Ltd. (TMIN),"Sep 21, 2021","25,088.35","25,088.70","25,300.00","24,870.00",9.01K,-0.16%
12,3M India Ltd. (TMIN),"Sep 20, 2021","25,128.00","25,347.00","25,347.00","24,567.05",3.53K,-0.43%
13,3M India Ltd. (TMIN),"Sep 17, 2021","25,235.90","25,300.00","25,399.80","24,702.05",4.04K,0.31%
14,3M India Ltd. (TMIN),"Sep 16, 2021","25,156.85","25,438.00","25,487.00","25,100.00",19.40K,-0.71%
15,3M India Ltd. (TMIN),"Sep 15, 2021","25,337.85","25,999.90","25,999.90","25,259.50",2.53K,-1.43%
16,3M India Ltd. (TMIN),"Sep 14, 2021","25,705.25","25,260.00","26,000.00","25,260.00",5.96K,2.20%
17,3M India Ltd. (TMIN),"Sep 13, 2021","25,150.90","24,218.35","25,362.95","24,134.05",18.22K,3.85%
18,3M India Ltd. (TMIN),"Sep 09, 2021","24,218.35","24,350.05","24,538.95","24,001.25",1.15K,-0.51%
19,3M India Ltd. (TMIN),"Sep 08, 2021","24,341.75","24,500.00","24,624.95","24,211.15",3.63K,0.01%
