,Unnamed: 0,address,chinese_company_name,company_name,district,email,fax,placement_type,telephone,valid_license
0,0,"The Hive, 5 Tai Mong Tsai Road, Sai Kung, New Territories",None,BIG SKY LIMITED,Sai Kung District,steve@canyu.do,None,"Local Domestic Helpers, Foreign Domestic Helpers",65079170,2020
1,1,"Units 2105-2106, 21st floor, Far East Consortium Building, 121 Des Voeux Road Central, Central, Hong Kong",None,Helpbe Limited,Central and Western District,valerie.wong@belgroup.com.hk,28582654,"Local Domestic Helpers, Foreign Domestic Helpers, Office Staff / Executive Search, Imported Worker",29097607,2019
2,2,"Room 9, 2nd floor, Hop Yick Commercial Centre, 33 Hop Choi Street, Yuen Long, New Territories",None,Limaconsultancy,Yuen Long District,thelimaconsultancy@gmail.com,None,Foreign Domestic Helpers,60939562,2019
3,3,"27th floor, World Wide House, 19 Des Voeux Road Central, Central, Hong Kong",None,ANNEXIS GROUP LIMITED,Central and Western District,INFO@ANNEXIS-GROUP.COM,None,Office Staff / Executive Search,39752863,2019
4,4,"39A, Tower 2, One West Kowloon, 873 Lai Chi Kok Road, Lai Chi Kok, Kowloon",None,EL RECRUIT LIMITED,Sham Shui Po District,e_khoo@hotmail.com,None,Office Staff / Executive Search,69717005,2019
5,5,"Unit 16, Workshop No.12, 1st floor, Hewlett Centre, 54 Hoi Yuen Road, Kwun Tong, Kowloon",None,RJ CONSULTANCY COMPANY,Kwun Tong District,rjconsultancy.cohk@gmail.com,None,"Foreign Domestic Helpers, Office Staff / Executive Search",62108391,2019
6,6,"Room 2302, 23rd floor, OfficePlus @ WanChai, 303 Hennessy Road, Wan Chai, Hong Kong",None,S KEY CONSULTING,Wan Chai District,Skeyhr@yat.com.hk,28512527,Office Staff / Executive Search,25440121,2019
7,7,"Room 29, Unit 915, 9th floor, Wing On Plaza, 62 Mody Road, Tsim Sha Tsui East, Kowloon",None,iTalent Company,Yau Tsim Mong District,evec@italenthk.com,30071627,Office Staff / Executive Search,27624829,2019
8,8,"19th floor, Bupa Centre, 141 Connaught Road West, Sheung Wan, Hong Kong",None,AKARN CONSULTING,Central and Western District,ops@pinc-group.com,21111180,Office Staff / Executive Search,35796888,2019
9,9,"Unit A, 5th floor, 12-13 Jubilee Street, Central, Hong Kong",None,The Lawson Practice,Central and Western District,jeremy@thelawsonpractice.com,None,Office Staff / Executive Search,98698965,2019
10,10,"Unit 806, 8th floor, Arion Commercial Centre, 22 Queen's Road West, Sheung Wan, Hong Kong",None,EIGHT OAK LIMITED,Central and Western District,joel@eightoak.com,None,Office Staff / Executive Search,98286422,2019
