,date,nse_type,name,ltp,change,volume,buy_price,sell_price,buy_qty,sell_qty,Open,Prev Close
0,20-Oct-2021,NIFTY 50,Adani Ports,794.90,0.33,"5,467,049",794.90,0.00,"5,028",0,792.00,792.25
1,20-Oct-2021,NIFTY 50,Asian Paints,"3,169.60",-0.44,"1,205,540","3,169.60",0.00,374,0,"3,190.00","3,183.75"
2,20-Oct-2021,NIFTY 50,Axis Bank,804.80,0.39,"9,023,067",804.80,0.00,637,0,800.60,801.65
3,20-Oct-2021,NIFTY 50,Bajaj Auto,"3,848.65",-1.61,"321,450",0.00,"3,848.65",0,76,"3,903.75","3,911.55"
4,20-Oct-2021,NIFTY 50,Bajaj Finance,"7,761.35",0.28,"1,102,899","7,761.35",0.00,19,0,"7,741.00","7,739.30"
5,20-Oct-2021,NIFTY 50,Bajaj Finserv,"18,603.20",-2.48,"224,798","18,603.20",0.00,4,0,"19,063.00","19,076.55"
6,20-Oct-2021,NIFTY 50,BPCL,441.10,-2.64,"6,543,463",441.10,0.00,"4,643",0,452.00,453.05
7,20-Oct-2021,NIFTY 50,Bharti Airtel,708.45,4.02,"21,217,306",708.45,0.00,"1,803",0,683.40,681.10
8,20-Oct-2021,NIFTY 50,Britannia,"3,762.00",-0.89,"523,002",0.00,0.00,0,0,"3,800.00","3,795.90"
9,20-Oct-2021,NIFTY 50,Cipla,905.90,-0.03,"1,941,581",0.00,905.90,0,623,905.00,906.20
10,20-Oct-2021,NIFTY 50,Coal India,180.50,-2.17,"15,921,230",180.50,0.00,225,0,182.70,184.50
11,20-Oct-2021,NIFTY 50,Divis Labs,"5,116.40",-1.46,"623,004","5,116.40",0.00,95,0,"5,182.10","5,192.10"
12,20-Oct-2021,NIFTY 50,Dr Reddys Labs,"4,753.90",-1.0,"316,097",0.00,"4,753.90",0,305,"4,801.05","4,801.80"
13,20-Oct-2021,NIFTY 50,Eicher Motors,"2,651.20",-1.94,"1,159,620","2,651.20",0.00,30,0,"2,705.00","2,703.70"
14,20-Oct-2021,NIFTY 50,Grasim,"1,692.50",-1.48,"834,655","1,692.50",0.00,5,0,"1,710.10","1,717.90"
15,20-Oct-2021,NIFTY 50,HCL Tech,"1,232.90",0.06,"8,222,562","1,232.90",0.00,"1,836",0,"1,239.00","1,232.10"
16,20-Oct-2021,NIFTY 50,HDFC Bank,"1,673.85",-0.88,"5,454,284","1,673.85",0.00,43,0,"1,689.10","1,688.70"
17,20-Oct-2021,NIFTY 50,HDFC Life,703.40,0.09,"2,606,119",703.40,0.00,"1,008",0,703.40,702.80
18,20-Oct-2021,NIFTY 50,Hero Motocorp,"2,816.00",-2.09,"424,722",0.00,"2,816.00",0,19,"2,863.00","2,876.05"
19,20-Oct-2021,NIFTY 50,Hindalco,512.95,-3.9,"9,440,844",0.00,512.95,0,"10,578",531.00,533.75
20,20-Oct-2021,NIFTY 50,HUL,"2,478.65",-2.68,"4,864,654","2,478.65",0.00,"1,749",0,"2,569.00","2,546.80"
21,20-Oct-2021,NIFTY 50,HDFC,"2,795.10",-0.98,"2,106,814","2,795.10",0.00,85,0,"2,833.00","2,822.90"
22,20-Oct-2021,NIFTY 50,ICICI Bank,745.85,-0.21,"12,762,996",745.85,0.00,"1,118",0,746.75,747.45
23,20-Oct-2021,NIFTY 50,IOC,130.55,-2.43,"10,755,221",130.55,0.00,"13,901",0,133.20,133.80
24,20-Oct-2021,NIFTY 50,IndusInd Bank,"1,201.70",0.64,"2,850,772","1,201.70",0.00,"1,410",0,"1,190.00","1,194.00"
25,20-Oct-2021,NIFTY 50,Infosys,"1,802.35",-1.09,"5,876,115","1,802.35",0.00,526,0,"1,829.40","1,822.15"
26,20-Oct-2021,NIFTY 50,ITC,246.60,0.26,"47,822,165",246.60,0.00,"11,997",0,245.95,245.95
27,20-Oct-2021,NIFTY 50,JSW Steel,685.15,-0.93,"3,256,699",685.15,0.00,"1,229",0,692.00,691.55
28,20-Oct-2021,NIFTY 50,Kotak Mahindra,"2,015.45",-0.98,"1,794,893",0.00,"2,015.45",0,828,"2,042.00","2,035.35"
29,20-Oct-2021,NIFTY 50,Larsen,"1,806.70",-2.13,"3,295,376","1,806.70",0.00,960,0,"1,855.00","1,846.05"
30,20-Oct-2021,NIFTY 50,M&M,899.35,-1.98,"3,551,282",899.35,0.00,250,0,913.00,917.50
31,20-Oct-2021,NIFTY 50,Maruti Suzuki,"7,590.75",-0.85,"488,082","7,590.75",0.00,172,0,"7,615.00","7,655.65"
32,20-Oct-2021,NIFTY 50,Nestle,"19,277.65",-0.47,"217,769",0.00,"19,277.65",0,5,"19,300.00","19,368.45"
33,20-Oct-2021,NIFTY 50,NTPC,146.25,-2.27,"16,129,487",146.25,0.00,"12,824",0,150.65,149.65
34,20-Oct-2021,NIFTY 50,ONGC,154.90,-2.33,"17,118,996",154.90,0.00,"5,680",0,159.25,158.60
35,20-Oct-2021,NIFTY 50,Power Grid Corp,194.35,-2.16,"16,432,451",194.35,0.00,"4,699",0,200.00,198.65
36,20-Oct-2021,NIFTY 50,Reliance,"2,700.40",-1.15,"5,865,926","2,700.40",0.00,"1,538",0,"2,742.75","2,731.85"
37,20-Oct-2021,NIFTY 50,SBI Life Insura,"1,168.75",-2.07,"2,063,277","1,168.75",0.00,341,0,"1,199.00","1,193.45"
38,20-Oct-2021,NIFTY 50,Shree Cements,"27,457.40",-0.86,"36,072","27,457.40",0.00,14,0,"27,699.00","27,696.80"
39,20-Oct-2021,NIFTY 50,SBI,499.90,2.4,"34,080,545",499.90,0.00,"42,835",0,488.80,488.20
40,20-Oct-2021,NIFTY 50,Sun Pharma,814.90,-1.5,"2,089,252",814.90,0.00,12,0,825.05,827.35
41,20-Oct-2021,NIFTY 50,TCS,"3,608.85",-0.7,"2,933,693","3,608.85",0.00,77,0,"3,612.00","3,634.15"
42,20-Oct-2021,NIFTY 50,TATA Cons. Prod,826.95,-1.94,"1,535,158",826.95,0.00,182,0,841.00,843.30
43,20-Oct-2021,NIFTY 50,Tata Motors,486.90,1.04,"55,444,814",486.90,0.00,"76,306",0,481.80,481.90
44,20-Oct-2021,NIFTY 50,Tata Steel,"1,343.30",-1.73,"6,975,774","1,343.30",0.00,"2,509",0,"1,372.00","1,366.90"
45,20-Oct-2021,NIFTY 50,Tech Mahindra,"1,539.30",0.01,"5,159,270","1,539.30",0.00,402,0,"1,544.00","1,539.10"
46,20-Oct-2021,NIFTY 50,Titan Company,"2,411.40",-2.96,"2,868,983","2,411.40",0.00,279,0,"2,487.10","2,484.90"
47,20-Oct-2021,NIFTY 50,UltraTechCement,"7,129.60",-0.56,"703,897","7,129.60",0.00,87,0,"7,100.00","7,170.10"
48,20-Oct-2021,NIFTY 50,UPL,715.90,-2.43,"1,568,362",715.90,0.00,3,0,733.70,733.70
49,20-Oct-2021,NIFTY 50,Wipro,701.95,-1.35,"8,054,391",701.95,0.00,"1,813",0,713.60,711.55
50,20-Oct-2021,NIFTY BANK,AU Small Financ,"1,157.25",-2.12,"541,292",0.00,"1,157.25",0,154,"1,185.00","1,182.35"
51,20-Oct-2021,NIFTY BANK,Axis Bank,804.80,0.39,"9,023,067",804.80,0.00,637,0,800.60,801.65
52,20-Oct-2021,NIFTY BANK,Bandhan Bank,316.60,0.25,"5,166,167",316.60,0.00,49,0,316.00,315.80
53,20-Oct-2021,NIFTY BANK,Federal Bank,94.00,1.24,"20,059,712",94.00,0.00,"9,687",0,92.85,92.85
54,20-Oct-2021,NIFTY BANK,HDFC Bank,"1,673.85",-0.88,"5,454,284","1,673.85",0.00,43,0,"1,689.10","1,688.70"
55,20-Oct-2021,NIFTY BANK,ICICI Bank,745.85,-0.21,"12,762,996",745.85,0.00,"1,118",0,746.75,747.45
56,20-Oct-2021,NIFTY BANK,IDFC First Bank,48.65,0.1,"24,487,806",48.65,0.00,"45,372",0,48.60,48.60
57,20-Oct-2021,NIFTY BANK,IndusInd Bank,"1,201.70",0.64,"2,850,772","1,201.70",0.00,"1,410",0,"1,190.00","1,194.00"
58,20-Oct-2021,NIFTY BANK,Kotak Mahindra,"2,015.45",-0.98,"1,794,893",0.00,"2,015.45",0,828,"2,042.00","2,035.35"
59,20-Oct-2021,NIFTY BANK,PNB,43.10,-2.38,"115,424,264",43.10,0.00,"370,401",0,43.90,44.15
60,20-Oct-2021,NIFTY BANK,RBL Bank,188.95,-0.66,"5,248,726",188.95,0.00,"1,301",0,191.20,190.20
61,20-Oct-2021,NIFTY 50,Adani Ports,794.90,0.33,"5,467,049",794.90,0.00,"5,028",0,792.00,792.25
62,20-Oct-2021,NIFTY 50,Asian Paints,"3,169.60",-0.44,"1,205,540","3,169.60",0.00,374,0,"3,190.00","3,183.75"
63,20-Oct-2021,NIFTY 50,Axis Bank,804.80,0.39,"9,023,067",804.80,0.00,637,0,800.60,801.65
64,20-Oct-2021,NIFTY 50,Bajaj Auto,"3,848.65",-1.61,"321,450",0.00,"3,848.65",0,76,"3,903.75","3,911.55"
65,20-Oct-2021,NIFTY 50,Bajaj Finance,"7,761.35",0.28,"1,102,899","7,761.35",0.00,19,0,"7,741.00","7,739.30"
66,20-Oct-2021,NIFTY 50,Bajaj Finserv,"18,603.20",-2.48,"224,798","18,603.20",0.00,4,0,"19,063.00","19,076.55"
67,20-Oct-2021,NIFTY 50,BPCL,441.10,-2.64,"6,543,463",441.10,0.00,"4,643",0,452.00,453.05
68,20-Oct-2021,NIFTY 50,Bharti Airtel,708.45,4.02,"21,217,306",708.45,0.00,"1,803",0,683.40,681.10
69,20-Oct-2021,NIFTY 50,Britannia,"3,762.00",-0.89,"523,002",0.00,0.00,0,0,"3,800.00","3,795.90"
70,20-Oct-2021,NIFTY 50,Cipla,905.90,-0.03,"1,941,581",0.00,905.90,0,623,905.00,906.20
71,20-Oct-2021,NIFTY 50,Coal India,180.50,-2.17,"15,921,230",180.50,0.00,225,0,182.70,184.50
72,20-Oct-2021,NIFTY 50,Divis Labs,"5,116.40",-1.46,"623,004","5,116.40",0.00,95,0,"5,182.10","5,192.10"
73,20-Oct-2021,NIFTY 50,Dr Reddys Labs,"4,753.90",-1.0,"316,097",0.00,"4,753.90",0,305,"4,801.05","4,801.80"
74,20-Oct-2021,NIFTY 50,Eicher Motors,"2,651.20",-1.94,"1,159,620","2,651.20",0.00,30,0,"2,705.00","2,703.70"
75,20-Oct-2021,NIFTY 50,Grasim,"1,692.50",-1.48,"834,655","1,692.50",0.00,5,0,"1,710.10","1,717.90"
76,20-Oct-2021,NIFTY 50,HCL Tech,"1,232.90",0.06,"8,222,562","1,232.90",0.00,"1,836",0,"1,239.00","1,232.10"
77,20-Oct-2021,NIFTY 50,HDFC Bank,"1,673.85",-0.88,"5,454,284","1,673.85",0.00,43,0,"1,689.10","1,688.70"
78,20-Oct-2021,NIFTY 50,HDFC Life,703.40,0.09,"2,606,119",703.40,0.00,"1,008",0,703.40,702.80
79,20-Oct-2021,NIFTY 50,Hero Motocorp,"2,816.00",-2.09,"424,722",0.00,"2,816.00",0,19,"2,863.00","2,876.05"
80,20-Oct-2021,NIFTY 50,Hindalco,512.95,-3.9,"9,440,844",0.00,512.95,0,"10,578",531.00,533.75
81,20-Oct-2021,NIFTY 50,HUL,"2,478.65",-2.68,"4,864,654","2,478.65",0.00,"1,749",0,"2,569.00","2,546.80"
82,20-Oct-2021,NIFTY 50,HDFC,"2,795.10",-0.98,"2,106,814","2,795.10",0.00,85,0,"2,833.00","2,822.90"
83,20-Oct-2021,NIFTY 50,ICICI Bank,745.85,-0.21,"12,762,996",745.85,0.00,"1,118",0,746.75,747.45
84,20-Oct-2021,NIFTY 50,IOC,130.55,-2.43,"10,755,221",130.55,0.00,"13,901",0,133.20,133.80
85,20-Oct-2021,NIFTY 50,IndusInd Bank,"1,201.70",0.64,"2,850,772","1,201.70",0.00,"1,410",0,"1,190.00","1,194.00"
86,20-Oct-2021,NIFTY 50,Infosys,"1,802.35",-1.09,"5,876,115","1,802.35",0.00,526,0,"1,829.40","1,822.15"
87,20-Oct-2021,NIFTY 50,ITC,246.60,0.26,"47,822,165",246.60,0.00,"11,997",0,245.95,245.95
88,20-Oct-2021,NIFTY 50,JSW Steel,685.15,-0.93,"3,256,699",685.15,0.00,"1,229",0,692.00,691.55
89,20-Oct-2021,NIFTY 50,Kotak Mahindra,"2,015.45",-0.98,"1,794,893",0.00,"2,015.45",0,828,"2,042.00","2,035.35"
90,20-Oct-2021,NIFTY 50,Larsen,"1,806.70",-2.13,"3,295,376","1,806.70",0.00,960,0,"1,855.00","1,846.05"
91,20-Oct-2021,NIFTY 50,M&M,899.35,-1.98,"3,551,282",899.35,0.00,250,0,913.00,917.50
92,20-Oct-2021,NIFTY 50,Maruti Suzuki,"7,590.75",-0.85,"488,082","7,590.75",0.00,172,0,"7,615.00","7,655.65"
93,20-Oct-2021,NIFTY 50,Nestle,"19,277.65",-0.47,"217,769",0.00,"19,277.65",0,5,"19,300.00","19,368.45"
94,20-Oct-2021,NIFTY 50,NTPC,146.25,-2.27,"16,129,487",146.25,0.00,"12,824",0,150.65,149.65
95,20-Oct-2021,NIFTY 50,ONGC,154.90,-2.33,"17,118,996",154.90,0.00,"5,680",0,159.25,158.60
